id,nickname,birth_date,position,is_alive,boss_id
1,muhomorfus,2002-06-23,Mega boss,true,
2,kWalker,1985-06-14,Manager,true,1
3,EugeneHowell,1991-12-07,Soldier,true,1
4,4Fields,1996-12-25,Soldier,true,3
5,RoyMontgomery,1995-11-03,Soldier,true,2
6,bLawrence,1984-07-11,Soldier,true,5
7,AlbertBowman,1982-03-15,Manager,true,5
8,MarthaCarter,1998-09-11,Soldier,true,6
9,8Cox,1982-11-26,Medical,true,8
10,hRay,1996-08-10,Soldier,true,8
11,aliquid_et,1994-03-20,Soldier,true,6
12,DeborahEvans,1981-02-12,Manager,true,11
13,rFlores,1981-07-06,Soldier,true,10
14,amet_aliquid_rerum,1991-11-02,Manager,true,5
15,LoisBrooks,1995-01-18,Soldier,false,7
16,pSchmidt,1990-04-28,Support,true,2
17,accusamus_sed_molestias,1988-03-18,Soldier,true,12
18,pReyes,1989-03-18,Manager,true,4
19,bDunn,1983-10-01,Manager,false,17
20,doloribus,1991-10-10,Soldier,true,19
21,DanielWest,1983-07-09,Soldier,true,19
22,explicabo_dolor,1984-02-20,Soldier,true,1
23,TheresaMills,1998-10-30,Soldier,true,21
24,1Jones,1994-12-30,Manager,true,11
25,GeraldPeterson,1995-11-17,Manager,true,12
26,cumque,1998-04-01,Medical,true,8
27,vel_ipsum_eum,1983-04-21,Soldier,true,8
28,jRuiz,1996-06-21,Soldier,true,19
29,3Dixon,1995-02-22,Soldier,true,21
30,8Palmer,1995-03-26,Support,true,17
31,9Baker,1999-01-28,Soldier,true,20
32,maxime_eos_sequi,1995-05-21,Soldier,false,28
33,rWashington,1993-09-24,Manager,true,29
34,et_nesciunt_eligendi,1989-01-14,Soldier,true,31
35,sLynch,1993-10-29,Soldier,true,16
36,KarenJohnson,1980-11-04,Manager,true,10
37,1Hill,1987-07-27,Manager,true,21
38,qui_aperiam,1996-02-19,Soldier,true,12
39,saepe,1994-12-01,Soldier,true,27
40,SteveRay,1983-07-27,Soldier,true,39
41,AnnaCooper,1984-09-19,Manager,true,11
42,1Coleman,1997-10-09,Manager,true,8
43,FrancesReid,1998-08-12,Soldier,true,30
44,lClark,1989-06-15,Manager,false,32
45,oCarroll,1981-06-08,Soldier,true,8
46,ErnestBerry,1988-03-01,Soldier,true,21
47,GeorgeRoss,1995-09-11,Manager,true,13
48,AnthonyFord,1992-08-13,Soldier,true,23
49,sit_atque_assumenda,1989-06-01,Soldier,true,24
50,RyanHunt,1991-12-11,Medical,true,34
51,KathleenDay,1991-08-12,Soldier,true,24
52,xPorter,1982-06-24,Medical,true,6
53,LisaAdams,1992-03-23,Manager,true,41
54,sed_consectetur,1991-02-26,Medical,true,44
55,est_ullam,2000-01-19,Soldier,false,37
56,CatherineMorris,1988-03-10,Support,true,33
57,DouglasCook,1989-05-17,Soldier,true,42
58,in,1992-04-02,Soldier,true,25
59,CarolynHall,1994-04-12,Support,true,43
60,JeffreyHernandez,1991-08-22,Soldier,true,16
61,pGreen,1986-09-24,Support,true,21
62,AdamShaw,1980-06-16,Manager,true,60
63,JackBishop,1988-04-20,Soldier,true,38
64,SharonCarter,1994-06-04,Manager,true,3
65,magnam_vel_minima,1987-05-11,Soldier,true,45
66,GaryReed,1981-12-31,Soldier,false,57
67,quia_provident_beatae,1989-05-18,Soldier,false,11
68,JeffreyMills,1987-11-22,Manager,true,36
69,voluptatibus,1993-02-07,Manager,true,54
70,eaque_quia,1997-05-20,Manager,false,12
71,est_voluptatem_quidem,2000-09-10,Soldier,true,29
72,cum,1996-01-05,Manager,true,36
73,zWilliams,1996-03-12,Medical,true,40
74,IreneLawrence,1984-05-31,Manager,true,71
75,RyanColeman,2000-11-02,Soldier,true,26
76,JustinJohnston,1998-10-03,Soldier,true,36
77,NicholasHall,1996-11-26,Support,true,33
78,voluptas_et_iste,1988-10-14,Soldier,true,26
79,SteveFrazier,1981-11-15,Soldier,true,67
80,ut,2001-10-03,Soldier,true,22
81,est,1982-12-24,Manager,false,21
82,5Sullivan,1998-04-12,Soldier,true,13
83,vMorris,1994-05-24,Soldier,false,6
84,1Hicks,1999-03-12,Soldier,true,75
85,9Pierce,2001-05-10,Manager,true,14
86,sunt,1997-01-10,Soldier,true,46
87,JonathanStevens,1997-08-03,Manager,true,72
88,BrandonMarshall,1980-01-08,Soldier,true,64
89,LisaLopez,1987-08-02,Manager,true,6
90,MildredKnight,1991-03-27,Soldier,false,21
91,wGilbert,1988-01-13,Soldier,true,54
92,et_quo_ratione,1985-04-07,Soldier,true,16
93,7Reynolds,1999-05-15,Medical,false,35
94,voluptate_laboriosam,1991-09-29,Support,true,5
95,PeterSimmons,1994-04-14,Soldier,true,50
96,4Ortiz,1988-04-13,Medical,false,65
97,BenjaminPierce,1994-11-01,Support,true,87
98,aCrawford,1980-06-05,Manager,true,23
99,KathyVasquez,1991-05-11,Medical,true,28
100,RobertBaker,1989-01-13,Soldier,true,49
101,pMiller,1993-12-11,Support,true,44
102,labore_in_deserunt,2000-05-13,Soldier,true,40
103,4Burns,1989-10-18,Manager,true,76
104,zMorrison,1987-01-29,Manager,true,99
105,ab,1995-10-23,Soldier,true,55
106,CherylCarroll,1992-12-16,Manager,true,101
107,dHowell,1989-05-17,Support,false,22
108,MatthewJohnson,1980-05-29,Manager,true,59
109,FrancesGonzales,2000-09-05,Medical,true,58
110,expedita_dolorum,1986-11-30,Soldier,true,51
111,RaymondBishop,1987-09-04,Soldier,true,91
112,porro,1986-10-23,Manager,true,89
113,commodi_et_aliquid,1993-09-09,Soldier,true,26
114,RichardWest,1989-01-03,Soldier,false,29
115,eJenkins,2001-02-08,Medical,true,46
116,NicholasOrtiz,2000-04-27,Manager,true,26
117,non_consequatur_omnis,1990-06-20,Support,true,8
118,vel_assumenda_corporis,1986-07-16,Manager,true,25
119,dolorem,1988-11-22,Soldier,true,44
120,6Kim,1984-09-05,Manager,true,77
121,3Bryant,1989-12-21,Soldier,false,98
122,BrianNelson,1981-09-03,Soldier,false,110
123,NancySmith,1989-12-07,Soldier,true,99
124,facere_sint,1991-10-04,Manager,true,116
125,qStevens,1985-03-03,Medical,true,73
126,doloremque,1985-06-28,Manager,true,83
127,gTorres,1996-07-06,Soldier,true,120
128,JackJohnson,2000-02-09,Manager,true,46
129,temporibus_rerum_ullam,1996-01-23,Support,true,44
130,1Cunningham,1986-05-12,Soldier,true,14
131,voluptas_aut_tempore,1994-08-28,Soldier,true,115
132,KimberlyBryant,1995-09-13,Manager,true,19
133,non_et,2000-08-29,Soldier,true,120
134,iste_iusto_maiores,1982-08-27,Soldier,true,106
135,quo,2001-10-30,Soldier,true,88
136,lChapman,1997-06-30,Soldier,true,70
137,sWagner,1980-09-26,Manager,true,3
138,illum_praesentium,1993-07-30,Manager,true,38
139,dolor_quia,1998-11-10,Soldier,true,29
140,3Howard,1995-01-07,Manager,false,2
141,JacquelineRoberts,1996-01-27,Soldier,false,62
142,qCastillo,2001-09-25,Soldier,true,16
143,jWheeler,1993-03-18,Manager,true,82
144,cumque_quis,1980-02-08,Manager,true,26
145,dolores,1999-01-16,Soldier,true,43
146,aut,1985-05-26,Medical,true,18
